Pos,Name,kraj,czas_netto
134,"SAIMINIKAITE Simona [4088]
Sk ``mohikanai``",Vilnius,01:34:10
135,GRZYWACZ Krzysztof [4389],Wieliszew,01:34:16
136,GUOBYS Marius [4205],Vilnius,01:34:16
137,"KĘDZIOR Roman [4515]
Wisła",Wisła,01:34:30
138,"WOLNY Andrzej [4244]
Olimpijczyk Nowe Chechło",Nakło Śląskie,01:34:34
139,"WOŁOWCZYK Krzysztof [4573]
Skike Polska",Warszawa,01:34:37
140,"FIGIEL Krzysztof [4074]
Niezrzeszony",Wałbrzych,01:34:40
141,"SAJDAK Ireneusz [4276]
Jsc Jasło",Jasło,01:34:56
142,ŻYLIŃSKI Waldemar [4081],Suwałki,01:34:59
143,"NEMEC Jan [4229]
Block",Valašské Meziříčí,01:34:59
144,BERNHARD Milan [4108],Praha,01:35:02
145,KRAKIEWICZ Jakub [4232],Bystrzyca Kłodzka,01:35:07
146,KACZMAREK Adam [4509],Stare Miasto,01:35:20
147,BIAŁOGŁOWSKI Wojciech [4051],Lubawka,01:35:27
148,MATUSIK Mateusz [4169],Jelenia Góra,01:35:27
149,LATAWIEC Andrzej [4099],Zamość,01:35:30
Odśwież,,,
150,"LESZKO Michał [4517]
Amator",Świdnica,01:35:33
151,"YUNISOV Kirill [4230]
Sokolyata",Moscow,01:35:41
152,"HARKKI Jukka [4446]
Team Fit",Tampere,01:35:44
153,"KRAHNERT Thomas [4261]
Skiklub Oker",Bad Harzburg,01:35:54
154,PALIŃSKA Aneta [4496],Szklarska Poręba,01:35:54
155,SUJAK Renata [4058],Duszniki Zdrój,01:36:20
156,"SOBÓL Mirosław [4226]
 nowotarski Klub Kolarski",Nowy Targ,01:36:22
157,"WIŚNIEWSKI Paweł [4467]
Biegówki.eu",Jelenia Góra,01:36:24
158,"BŁACHOWIAK Jakub [4076]
Strefasportu.pl",Leszno,01:36:25
159,"HABRAT Jacek [4173]
Rdlp Krosno",Krosno,01:36:25
160,"ZAKHAROV Dmitry [4220]
Vtoroe Dyhanie",Sankt-petersburg,01:36:31
161,"SOLOVEV Andrei [4219]
Vtoroe Dyhanie",Sankt-petersburg,01:36:31
162,JANEK Łukasz [4116],Kościan,01:36:36
163,"GAJOWSKI Maciej [4282]
Drużyna Kowary-trzcianka",Kowary,01:36:38
164,"SPYCHALSKI Krzysztof [4171]
Fundacja Mogę-chcę-potrafię",Legnica,01:36:52
165,"KAPITAN Krzysztof [4507]
Amator",Wrocław,01:36:55
166,"KOVAC Karol [4077]
Kt Apollo Bratislava",Bratislava,01:37:02
167,"AMBROS Jakub [4574]
Ak Emila Zatopka Koprivnice",Roznov Pod Radhostem,01:37:03
168,KOSZAŁKO Marcin [4175],Polkowice,01:37:04
169,"BAJDA Jacek [4352]
Wkb Meta Lubliniec",Lubliniec,01:37:19
170,IWANICKI Jan [4528],Zakopane,01:37:22
171,"WELZER Dariusz [4107]
Welda Omega Team",Oława,01:37:22
172,STRZAŁKOWSKI Artur [4069],Piechowice,01:37:25
173,HELLER Andre [4241],Zittau,01:37:26
174,POLLARI Risto [4445],Tampere,01:37:27
Odśwież,,,
175,IWANICKI Krzysztof [4525],Zakopane,01:37:27
176,"MŁOTKOWSKI Mariusz [4106]
4run Team Piła",Piła,01:37:29
177,RINKEVICIUS Žilvinas [4085],Elektrenai,01:37:30
178,"GRANDYS Janusz [4072]
Kraków Ski",Kraków,01:37:33
179,"KOCIERZ Piotr [4228]
Halny Węgierska Górka",Żywiec,01:37:39
180,"MAŚLANKA Kamil [4194]
Ustrońska Szkoła Narciarstwa Biegowego",Knurów,01:37:41
181,"BUŁKA Łukasz [4092]
 improdex Czechowice",Zabierzów,01:37:41
182,SCHWARZ Ondřej [4128],Frenštát Pod Radhoštěm,01:37:42
183,TOMBERG Raul [4094],RannamÕ Isa Harjumaa,01:37:45
184,WITUSIAK Mateusz [4112],Szklarska Poręba,01:37:46
185,"NOWACKA Krystyna [4242]
Tn Biegówki",Warszawa,01:37:51
186,"BZOWSKI Jan [4267]
Kraków Ski",Kraków,01:37:51
187,ADAMSKI Szymon [4091],Wrocław,01:37:53
188,"WOJCIECHOWSKI Witold [4264]
Lotniarze",Wroclaw,01:37:58
189,"ARHEIT Richie [4203]
Skiclub Villingen Schwarzwald",Weingarten Baden,01:38:00
190,"DRZEWOSZ Mirosław [4280]
Mulks Grupa Oscar Tomaszów Lubelski",Tomaszów Lubelski,01:38:07
191,STACHURA Marek [4111],Strasshof A.d. Nordbahn,01:38:12
192,"KNOGLER Gregor [4430]
Bbrz",Linz,01:38:12
193,"MICHALIK Izabela [4125]
Ts Regle Szklarska Poręba",Szklarska Poręba,01:38:26
194,STRZYCZKOWSKI Michal [4126],Warszawa-wesola,01:38:28
195,"OLSZÓWKA Wojciech [4162]
Stowarzyszenie Sportowe Sokół Tarnów",Tarnów,01:38:33
196,"BEZULSKI Michał [4105]
Ct Cadet Gorzów Wlkp.",Gorzów Wlkp.,01:38:36
197,PURZYŃSKI Jarosław [4071],Jelenia Góra,01:38:37
198,"SZULC Mateusz [4250]
 uks Mieroszów",Kowalowa,01:38:46
199,"DOBROWOLSKI Marek [4100]
Uks Harcownik Malocice",Małocice,01:38:48
Odśwież,,,
200,"ŁUKASZEWICZ Dawid [4283]
Multiendurance Wrocław",Bielany Wrocławskie,01:39:03
201,KONIECZNY Szymon [4535],Mysłakowice,01:39:06
202,CHĘĆ Piotr [4461],Warszawa,01:39:06
203,SALONI Lech [4504],Warszawa,01:39:12
204,"MIŃCZYK Piotr [4117]
Family Mińczyk",Zielona Góra,01:39:18
205,KUHN Pavel [4127],Praha 15,01:39:25
206,"BUCHLA Marcin [4087]
Gt Rat",Wrocław,01:39:26
207,"LACHMAYR Robert [4089]
Usc Atomic -st.leonhard",Horn,01:39:38
208,"KOMAROWSKI Krzysztof [4115]
T.n.",Łomianki,01:39:38
209,"SIENKAN Aleksander [4131]
Tkkf Czeladz",Będzin,01:39:44
210,"NADACHOWSKI Marek [4273]
Ostrów Wielkopolski Masters Team",Zacharzew,01:39:54
211,MINCIKIEWICZ Bogdan [4331],Stróża,01:39:59
212,CZERNIEWICZ Grzegorz [4368],Gołuski,01:40:06
213,"KISHKEL Ivan [4066]
Narciarz Grodno",Grodno,01:40:07
214,"KORZETKOWSKI Marek [4090]
Zawsze Na Pudle",Warszawa,01:40:10
215,PACEK Jarosław [4121],Gliwice,01:40:12
216,KOWALSKI Tomasz [4266],Turza Śląska,01:40:28
217,"WILINSKI Axel [4206]
Sv Ilmtal Manebach",Ilmenau Manebach,01:40:55
218,WIŚNIEWSKI Piotr [4431],Poznań,01:40:59
219,"GOMOLA Paweł [4292]
 gomola Trans Airco",Skoczów Pogórze,01:41:00
220,PYZIK Jacek [4073],Mysłakowice,01:41:07
221,"GIEMZIK Krzysztof [4499]
Wataha Team Lubin",Lubin,01:41:09
222,"GRYNKIEWICZ Jagoda [4167]
Team Nabiegowkach.pl",Wilno,01:41:14
223,WOŹNIAK Patryk [4426],Ostrów Wielkopolski,01:41:16
224,KLEMENTOWICZ Daniel [4558],Warszawa,01:41:21
Odśwież,,,
225,CZAJKA Leszek [4118],Tarnowskie Góry,01:41:25
226,WILK Sebastian [4122],Leśna,01:41:29
227,"TOKARCZYK Piotr [4234]
Klub Turystyki Kajakowej Www.rejak.com.pl",Kędzierzyn-koźle,01:41:43
228,"ZOREMBA Jan [4123]
Silesia Skating",Tarnowskie Góry,01:41:56
229,"KLIMONT Bogdan [4278]
Styx",Warszawa,01:42:02
230,KHRISTOLIUBOV Aleksei [4217],Sankt-peterburg,01:42:11
231,BUDZIŃSKA Karolina [4079],Wrocław,01:42:16
232,"GRZELEWSKI Pawel [4487]
Stöcke Ts Järnet",UmeÅ,01:42:28
233,MACHALICKA Libuse [4575],Hranice,01:42:47
234,NOWOK Beata [4361],Edinburgh,01:42:48
235,"KOPYT Jan [4265]
Szalona Paka Z Chaty Robaka",Konstancin-jeziorna,01:42:49
236,"GRASZA Dariusz [4560]
Gt Rat",Wrocław,01:42:57
237,KOSTYNICH Sergey [4200],Moscow,01:43:17
238,"BEZULSKA Anna [4268]
Ct Cadet Gorzów Wlkp.",Gorzów Wlkp.,01:43:22
239,"KAMIŃSKI Jakub [4298]
Łódzki Klub Wysokogórski",Łódź,01:43:34
240,"PELA Zbynek [4183]
Ski Pax Horni Maxov",Kladno - Rozdelov,01:43:36
241,"WALCZAK Robert [4153]
Parkrun Poznań + city Trail Team",Poznań,01:43:37
242,BRYNIARSKI Maciej [4284],Nowy Targ,01:43:50
243,"RYNKO Paweł [4129]
Startuję Bo Nie Lubię.",Olsztyn,01:43:56
244,"ZOLMAN Petr [4124]
Pstruzi.eu",Smrzovka,01:44:14
245,"NOWOSIELSKI Andrzej [4281]
Cityrulers",Szczecin,01:44:16
246,SINKIEWICZ Anna [4270],Boguszów Gorce,01:44:16
247,"OSIECKI Ireneusz [4301]
Akademia Biegania",Gdańsk,01:44:17
248,"KRAKÓWKO Robert [4286]
 ",Rosochate Kościelne,01:44:25
249,"HRAMYKA Aliaksandr [4135]
Enervit Yoko Team",Jelenia Góra,01:44:25
Odśwież,,,
250,JEZIERSKI Mateusz [4130],Gdynia,01:44:28
251,"GALLE Dariusz [4065]
Welda Omega Team",Stanowice,01:44:29
252,"BŁACHOWIAK Mariusz Józef [4120]
Maraton Leszno",Leszno,01:44:30
253,BANACH Krzysztof [4119],Lublin,01:44:34
