Nr,imię nazwisko,imię nazwisko2,kat,kat-mce,team,czas_netto
203,Kijowski Marcin,Tyc Ryszard,MM,329),Niedzielni biegacze,14:18:56
47,Szelka Andrzej,Hasa Adam,MM,330),AA Koksiorze,14:19:44
337,Bąkowski Piotr,Zawidzki Dariusz,MM,331),Miękka Faja Team,14:20:11
449,Drozdowski Andrzej,Giemza Kazimierz,MM,332),Tiger Gym,14:20:48
480,Ziemba Daniel,Ziemba Przemysław,MM,333),Bracik Ziemba Team,14:20:58
546,Kopp Rafał,Wilk Grzegorz,MM,334),sklepsportowy.net.pl,14:21:21
226,Bryksy Mirosław,Pyla Tomasz,MM,335),TOMIREXPOL,14:21:37
306,Urbański Krzysztof,Nienartowicz Bartosz,MM,336),Krok za grosz Toruń,14:23:09
80,Pytel Marcin,Pytel Paweł,MM,337),Commando Pytle,14:23:10
584,Ignaszak Marek,Kilian Mateusz,MM,338),Podgórskie Anioły,14:23:35
438,Nowak Jarosław,Grabowicz Paweł,MM,339),Na Wybiegu,14:25:37
385,Górski Mariusz,Gocyła Piotr,MM,340),Tyskodoliniarski Team,14:25:41
192,Kuczyńska Anetta,Kaniewska Agnieszka,KK,9),A&A IGR PAN & KB Maniac Poznań,14:26:14
58,Słomiak Marian,Gałecki Rafał,MM,341),Byle przed Dyrektorem,14:26:33
296,Tomalski Piotr,Płoskoński Michał,MM,342),Brothers in Law,14:26:49
116,Gansel Patryk,Bogusław Homa,MM,343),Muflon Running Team,14:26:53
378,Sala Mieczysław,Winczura Piotr,MM,344),ORANGE POLSKA VI,14:29:26
239,Doczekalski Jarosław,Chruszcz Wojtek,MM,345),Biegacze Jysk,14:30:48
355,Sępka Daria,Zieliński Michał,MIX,42),Spartanie Dzieciom 1,14:32:43
638,Telszewski Gniewomir,Baranowski Szymon,MM,346),VielbuonG,14:32:53
297,Wziętek Adam,Górny Dawid,MM,347),PHOTOGRUPA,14:32:55
516,Łaźniak Agata,Pfajfer Marek,MIX,43),Drużyna Wiercika,14:33:03
143,Żurowski Marcin,Staszewski Piotr,MM,348),Wentyl i Partner,14:33:05
17,Maliński Marek,Wolański Witosław,MM,349),Jeszcze Trochę -- Trójmiasto,14:33:08
120,Wachowska Katarzyna,Wachowska Alina,KK,10),Smok Trójgłowy,14:33:34
245,Ostapski Kamil,Biały Sebastian,MM,350),Vege Runners Wrocław,14:36:41
379,Niedźwiecki Mateusz,Martan Iwona,MIX,44),Drim Tim,14:37:18
380,Kłosok Sebastian,Koziołek Łukasz,MM,351),Team Rybnik,14:37:34
405,Raclawski Piotr,Październiak Agnieszka,MIX,45),Grupa Poscigowa,14:38:53
371,Trąmpczyński Kuba,Kujawa Tomek,MM,352),FCWS,14:38:57
67,Potempski Paweł,Roszkowski Marcin,MM,353),TEAM ASA - BIEGIEM PO ZDROWIE Warszawa 3,14:39:41
383,Mysłek Tomasz,Kołodziejczyk Wojciech,MM,354),AVC-LIGHTING,14:40:00
518,Kozak Dawid,Lędzion Patryk,MM,355),Kame-Hame-Ha Team 2 KSZ 6BPD Gliwice,14:40:14
44,Maras Ladislav,Gejza Sabanoš,MM,356),MARAS team,14:42:08
575,Jurczak Roman,Zegar Magdalena,MIX,46),Vitamins for you,14:42:10
211,Kostka Janusz,Józefczyk Tomasz,MM,357),Miłośnicy Obołona,14:43:07
589,Salak Bartłomiej,Rek Sławomir,MM,358),Speed Extreme Team,14:43:13
79,Brożek Marcin,Jaworski Daniel,MM,359),Pogromcy Kremla,14:43:31
447,Cyparski Artur,Dudek Arkadiusz,MM,360),4 PORY ROKU BRZOZÓW,14:44:34
441,Niemira Rafał,Mazurkiewicz Bartosz,MM,361),AWF Skład,14:44:35
620,Brygier Jacek,Skalski Wojciech,MM,362),Poszukiwacze Granic,14:45:21
276,Mrówczyński Szymon,Kuźmicz Dominik,MM,363),LSO Toruń,14:46:37
267,Rękawek Artur,Ekiert Mariusz,MM,364),Truchtacz.pl 3,14:46:46
356,Płuciennik Olga,Mikulski Dawid,MIX,47),Bułgarski Pocisk/ Bieg Szlak Trafi,14:46:50
332,Słowik Wojciech,Mohl Jerzy,MM,365),Jurek i Wojtek,14:46:52
340,Michajluk Bogdan,Kubowicz Zbigniew,MM,366),UC Wrocław,14:48:20
234,Besler Paweł,Michalik Adam,MM,367),Tiger Gym,14:48:22
62,Szydłak Dariusz,Kielak Daniel,MM,368),XTR-Team,14:49:36
5,Pysiewicz Krzysztof,Pasterczyk Dariusz,MM,369),berciki,14:49:38
469,Wysokiński Jerzy,Farbiszewski Marek,MM,370),Orange Polska 1,14:51:45
531,Rajzer Mariusz,Sadłecka Magdalena,MIX,48),BodyKinetic,14:52:10
570,Domańska Ewelina,Łazarek Daniel,MIX,49),Krupówki na Monciaku,14:52:21
452,Bartecki Piotr,Dadun Tomasz,MM,371),Tiger Gym,14:53:24
34,Pilarski Jacek,Dziopa Cezariusz,MM,372),AKTYWNI konin,14:53:27
271,Zagajewski Mariusz,Sroka Paweł,MM,373),Optymiści II,14:53:31
138,Nowińska Joanna,Kozłowski Grzegorz,MIX,50),life 4 crossfit,14:53:41
537,Kalinowski Sławomir,Gawryś Jerzy,MM,374),husky teem,14:53:44
318,Mizieliński Artur,Wilgat Adam,MM,375),Sto12tri.pl,14:54:09
414,Detko Ewa,Makowski Maciej,MIX,51),Nasniedognią sezon trzeci,14:54:13
76,Gałka Oskar,Kołodziejski Jarek,MM,376),ORŁY FUNDACJA RAKOFF,14:54:14
507,Marszałkowski Grzegorz,Wnuk Krzysztof,MM,377),OJCIEC MEDARD,14:54:20
